symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2020-03-03 00:00:00+00:00,265.89,281.07,262.46,278.67,16319828,6.623993429,7.0021656817,6.5385434405,6.9423756022,652793120,0.0,1.0
NVDA,2020-03-04 00:00:00+00:00,284.51,284.89,267.2,270.2,14935184,7.0878647956,7.0973315582,6.6566288474,6.7313664468,597407360,0.0,1.0
NVDA,2020-03-05 00:00:00+00:00,273.29,283.2,271.5,276.5,13508187,6.8083461741,7.0552293772,6.7637527398,6.8883154054,540327480,0.0,1.0
NVDA,2020-03-06 00:00:00+00:00,266.04,268.39,258.0,266.08,12885307,6.627730309,6.6862747618,6.4274335428,6.6287268103,515412280,0.0,1.0
NVDA,2020-03-09 00:00:00+00:00,245.44,259.4,238.18,239.9,15353960,6.1145321269,6.4623110891,5.9336671365,5.9765166935,614158400,0.0,1.0
NVDA,2020-03-10 00:00:00+00:00,261.08,261.08,245.99,256.54,14516218,6.5041641448,6.5041641448,6.1282340201,6.3910612445,580648720,0.0,1.0
NVDA,2020-03-11 00:00:00+00:00,246.47,256.6,242.57,255.46,12551693,6.140192036,6.3925559964,6.0430331569,6.3641557087,502067720,0.0,1.0
NVDA,2020-03-12 00:00:00+00:00,216.31,236.12,215.8,225.46,20413535,5.3888300374,5.8823473183,5.3761246455,5.6167797153,816541400,0.0,1.0
NVDA,2020-03-13 00:00:00+00:00,240.84,241.02,219.61,230.5,15870943,5.9999344746,6.0044187306,5.4710413966,5.7423388822,634837720,0.0,1.0
NVDA,2020-03-16 00:00:00+00:00,196.4,226.1,194.0,212.41,18174303,4.8928215031,5.6327237365,4.8330314237,5.2916711582,726972120,0.0,1.0
NVDA,2020-03-17 00:00:00+00:00,217.27,220.86,191.0,200.91,20840799,5.4127460692,5.502182063,4.7582938243,5.0051770275,833631960,0.0,1.0
NVDA,2020-03-18 00:00:00+00:00,202.82,209.94,180.68,200.1,21727385,5.0527599657,5.2301372014,4.5011964826,4.9849978756,869095400,0.0,1.0
NVDA,2020-03-19 00:00:00+00:00,212.97,216.73,193.39,201.96,19137847,5.3056221768,5.3992933013,4.8178347785,5.0313351872,765513880,0.0,1.0
NVDA,2020-03-20 00:00:00+00:00,205.75,230.32,205.13,219.0,20115854,5.1257536877,5.7378546263,5.1103079172,5.4558447514,804634160,0.0,1.0
NVDA,2020-03-23 00:00:00+00:00,212.69,216.48,198.52,205.71,16096866,5.2986466675,5.393065168,4.9456360733,5.1247571864,643874640,0.0,1.0
NVDA,2020-03-24 00:00:00+00:00,249.18,252.66,228.05,229.0,27541095,6.2077050007,6.294400616,5.6813031761,5.7049700826,1101643800,0.0,1.0
NVDA,2020-03-25 00:00:00+00:00,245.62,261.82,243.66,253.8,19835767,6.1190163829,6.5225994193,6.070187818,6.3228009037,793430680,0.0,1.0
NVDA,2020-03-26 00:00:00+00:00,257.24,262.22,250.0,253.94,17439692,6.4085000176,6.5325644325,6.2281332779,6.3262886584,697587680,0.0,1.0
